,tmpf,dwpf,relh,drct,sknt,alti,vsby,skyl1,feel,skyc1_BKN,skyc1_FEW,skyc1_NSC,skyc1_OVC,skyc1_SCT,skyc1_VV ,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,dayofweek_flag_Fri,dayofweek_flag_Mon,dayofweek_flag_Sat,dayofweek_flag_Sun,dayofweek_flag_Thurs,dayofweek_flag_Tues,dayofweek_flag_Wed,season_flag_autumn,season_flag_spring,season_flag_summer,season_flag_winter,fr_code_IFR,fr_code_LIFR,fr_code_MVFR,fr_code_VFR
22878,60.8,57.2,87.92,180.0,2.0,30.12,4.35,2000.0,60.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
224,69.8,69.8,100.0,0.0,0.0,29.88,6.21,3000.0,69.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
18692,78.8,71.6,78.62,10.0,3.0,29.94,6.21,3000.0,81.7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24158,86.0,60.8,42.8,190.0,4.0,30.06,6.21,4000.0,86.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
8181,64.4,60.8,88.09,170.0,3.0,30.0,3.73,1900.0,64.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
34397,80.6,66.2,61.58,270.0,6.0,29.85,6.21,3000.0,82.75,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
21516,59.0,59.0,100.0,270.0,2.0,30.33,1.86,300.0,59.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
13150,55.4,53.6,93.65,50.0,3.0,30.09,4.97,4000.0,55.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
23288,60.8,59.0,93.79,260.0,2.0,30.3,2.49,400.0,60.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
36735,64.4,57.2,77.45,190.0,9.0,30.09,6.21,2000.0,64.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
16904,89.6,59.0,35.81,310.0,9.0,30.03,6.21,3000.0,89.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
10155,75.2,71.6,88.59,0.0,0.0,29.88,6.21,1100.0,76.58,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
27766,69.8,62.6,77.9,160.0,5.0,30.09,6.21,3000.0,69.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
193,73.4,73.4,100.0,60.0,1.0,29.97,6.21,2000.0,75.14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
39358,60.8,53.6,77.14,140.0,7.0,30.06,6.21,2500.0,60.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
27112,71.6,62.6,73.27,120.0,10.0,30.06,3.73,2000.0,71.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
5247,64.4,57.2,77.45,150.0,7.0,30.15,6.21,1900.0,64.4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
29256,77.0,59.0,53.8,330.0,9.0,29.94,6.21,3000.0,77.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23792,60.8,59.0,93.79,90.0,3.0,30.09,0.62,800.0,60.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
